ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
2469490,,Шины летние Белшина BEL-261,https://auto1.by/shiny-i-diski/shiny-letnie/2469490,https://images.auto1.by/291f6dbd8953b1622b7ebc8d622d604909bb9925.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Шины летние,117.6,,,,,,,,,
445783,,Водяной насос INA 530009030,https://auto1.by/avtozapchasti/sistema-okhlazhdeniya/vodyanoj-nasos--prokladka/vodyanoj-nasos/445783,https://auto1.by/ImageService/full/204/530009030.JPG,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Водяной насос,618.51,,,,,,,,,
945224,,"Крышка головки цилиндра, прокладка GENERAL MOTORS 55564395",https://auto1.by/avtozapchasti/dvigatel/golovka-tsilindra/kryshka-golovki-tsilindra--prokladka/945224,https://images.auto1.by/e3120e72c5f945bc01dfabb188a3d52f1c5fff72.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,"Крышка головки цилиндра, прокладка",388.1,,,,,,,,,
166081,,Подшипник ступицы колеса FAG 713610610,https://auto1.by/avtozapchasti/podveska/podveska-osi--sistema-podveski--kolesa/stupitsa-kolesa--ustanovka/podshipnik-stupitsy-kolesa/166081,https://auto1.by/ImageService/full/192/713610610.JPG,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Подшипник ступицы колеса,231.94,,,,,,,,,
13677795,,Шины летние Ikon Tyres T732332,https://auto1.by/shiny-i-diski/shiny-letnie/13677795,https://images.auto1.by/f6d09d0d9673f5c1b79b9c1efece1d35fbeeec9f.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Шины летние,177.71,,,,,,,,,
116452,,Стойка стабилизатора TEKNOROT N-904,https://auto1.by/avtozapchasti/podveska/podveska-osi--sistema-podveski--kolesa/stabilizator--detali-krepezha/stojka-stabilizatora/116452,https://images.auto1.by/73967987501e2ce11b93c1ebbdf72ad28dea8140.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Стойка стабилизатора,33.68,,,,,,,,,
67821,,Тормозной диск LPR P1003V,https://auto1.by/avtozapchasti/tormoznaya-sistema/diskovoj-tormoznoj-mekhanizm/tormoznoj-disk/67821,https://auto1.by/ImageService/full/197/P1003V.JPG,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Тормозной диск,91.01,,,,,,,,,
12818491,,Шины летние CORDIANT 366617266,https://auto1.by/shiny-i-diski/shiny-letnie/12818491,https://images.auto1.by/64a9593646f25fc5f11d2936fc8e6c616ef42c35.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Шины летние,139.16,,,,,,,,,
116453,,Соединительная тяга TEKNOROT N-905,https://auto1.by/avtozapchasti/podveska/podveska-osi--sistema-podveski--kolesa/stabilizator--detali-krepezha/soedinitelnaya-tyaga/116453,https://images.auto1.by/f5c45bc15c14053eb450fb3d637546e148c7c4eb.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Соединительная тяга,29.66,,,,,,,,,
2354177,,Сверлильные станки WORTEX DB160500018,https://auto1.by/instrumenty/elektroinstrument/dreli-i-perforatory/sverlilnye-stanki/2354177,https://images.auto1.by/eb0a7063d65d75b82ba4fd21e456c71ffd0986e6.jpg,,Официальный поставщик в РБ. Бесплатная ежедневная доставка. Заказывайте!,Сверлильные станки,487.41,,,,,,,,,
