ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price
881,,Лопатка свинина,https://baron.kz/myaso-ptica/svinina/lopatka-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/lopatka-svinina-n-600x400.jpg,,,,2095.00 KZT,
1298,,Подлопаточная часть свинина,https://baron.kz/myaso-ptica/svinina/podlopatochnaya-chast-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/podlopatochnaya-chast-svinina-n-600x400.jpg,,,,2200.00 KZT,
1101,,Ребра со шкурой мясные свинина,https://baron.kz/myaso-ptica/svinina/rebra-myasnye-svinina-so-shkuroj/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/rebra-so-shkuroj-svinina-n-600x400.jpg,,,,2330.00 KZT,
863,,Спинная часть свинина,https://baron.kz/myaso-ptica/svinina/spinnaya-chast-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/spinnaya-chast-svinina-n-600x400.jpg,,,,2205.00 KZT,
823,,Печень свинина,https://baron.kz/myaso-ptica/svinina/pechen-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/pechen-svinina-n-600x400.jpg,,,,550.00 KZT,
1301,,Брюшина свинина,https://baron.kz/myaso-ptica/svinina/bryushina-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/bryushina-svinina-n-600x400.jpg,,,,2000.00 KZT,
896,,Рулька свиная передняя,https://baron.kz/myaso-ptica/svinina/rulka-svinaya-perednyaya/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/rulka-perednyaya-svinina-n-600x400.jpg,,,,1700.00 KZT,
895,,Антрекот свинина,https://baron.kz/myaso-ptica/svinina/antrekot-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/antrekot-svinina-n-600x400.jpg,,,,2660.00 KZT,
801,,Рулька свиная задняя,https://baron.kz/myaso-ptica/svinina/rulka-svinaya-zadnyaya/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/rulka-zadnyaya-svinina-n-600x400.jpg,,,,1845.00 KZT,
894,,Задняя часть свинина,https://baron.kz/myaso-ptica/svinina/zadnyaya-chast-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/zadnyaya-chast-svinina-n-600x400.jpg,,,,2260.00 KZT,
1299,,Грудинка свинина,https://baron.kz/myaso-ptica/svinina/grudinka-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/grudinka-svinina-n-600x400.jpg,,,,2000.00 KZT,
1126,,"Черева свиная неочищенная зам., 3 кг",https://baron.kz/myaso-ptica/svinina/chereva-svinaya-neochishchennaya-zam-3-kg/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/chereva-svinina-n-600x400.jpg,,,,550.00 KZT,
1184,,"Зам. передние рульки свиные, 2 шт",https://baron.kz/myaso-ptica/svinina/rulki-svinye-perednie-zam-2-sht/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/rulki-perednie-svinina-zam-n-600x400.jpg,,,,1255.00 KZT,
841,,Шея свинина,https://baron.kz/myaso-ptica/svinina/sheya-svinina/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/sheya-svinina-n-600x400.jpg,,,,3800.00 KZT,
1330,,Шкура свиная зам.,https://baron.kz/myaso-ptica/svinina/shkura-svinaya-zam/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/shkura-svinaya-zam-600x400.jpg,,,,200.00 KZT,
1119,,"Ливер свиной зам., 10 кг",https://baron.kz/myaso-ptica/svinina/liver-svinoj-zam-20-kg/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/liver-svinina-zam-n-600x400.jpg,,,,350.00 KZT,
1329,,Пятачки свиные зам.,https://baron.kz/myaso-ptica/svinina/pyatachki-svinye-zam/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/pyatochki-svinye-zam-600x400.jpg,,,,3000.00 KZT,
807,,"Фарш из говядины зам., 0.5 кг",https://baron.kz/zamorozhennye-produkty/farsh/farsh-iz-govyadiny-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_farsh_govyadina-600x400.jpg,,,,1830.00 KZT,
808,,"Нарезка из говядины зам., 500 г",https://baron.kz/myaso-ptica/govyadina/narezka-iz-govyadiny-500-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_narezka_govyadina-600x400.jpg,,,,2645.00 KZT,
1204,,"Фарш из говядины зам., 1 кг",https://baron.kz/zamorozhennye-produkty/farsh/farsh-iz-govyadiny-zam-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_farsh_govyadina-600x400.jpg,,,,3660.00 KZT,
1279,,Грудинка говядина,https://baron.kz/myaso-ptica/govyadina/grudinka-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/grudinka-govyadina9-600x400.jpg,,,,2800.00 KZT,2570.00 KZT
1895,,"Говядина тушеная, 330 г",https://baron.kz/index.php?route=product/product&path=208_210&product_id=1895,https://baron.kz/image/cache/catalog/catalog/konservy-i-solenya/govyadina-tushenaya-330-g1-600x400.jpg,,,,2000.00 KZT,
1283,,Ребра говядина,https://baron.kz/myaso-ptica/govyadina/rebra-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/rebra-govyadina-new9-600x400.jpg,,,,2750.00 KZT,2540.00 KZT
1280,,Подлопаточная часть говядина,https://baron.kz/myaso-ptica/govyadina/podlopatochnaya-chast-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/podlopatochnaya-chast-govyadina9-600x400.jpg,,,,2800.00 KZT,2570.00 KZT
1282,,Лопатка говядина,https://baron.kz/myaso-ptica/govyadina/lopatka-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/lopatka-govyadina9-600x400.jpg,,,,3000.00 KZT,2680.00 KZT
1281,,Филейная часть говядина,https://baron.kz/myaso-ptica/govyadina/filejnaya-chast-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/filejnaya-chast-govyadina-new9-600x400.jpg,,,,3100.00 KZT,2650.00 KZT
1284,,Задняя часть говядина,https://baron.kz/myaso-ptica/govyadina/zadnyaya-chast-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/zadnyaya-chast-govyadina-new9-600x400.jpg,,,,3200.00 KZT,2880.00 KZT
2064,,Передняя четверть говядина зам.,https://baron.kz/index.php?route=product/product&path=208_210&product_id=2064,https://baron.kz/image/cache/catalog/catalog/meat/beef/perednyaya-chetvert-govyadina-600x400.jpg,,,,2800.00 KZT,2380.00 KZT
2063,,Задняя четверть говядина зам.,https://baron.kz/index.php?route=product/product&path=208_210&product_id=2063,https://baron.kz/image/cache/catalog/catalog/meat/beef/zadnyaya-chetvert-govyadina-600x400.jpg,,,,2800.00 KZT,2450.00 KZT
902,,"Суповой набор говядина зам., 1 кг",https://baron.kz/myaso-ptica/govyadina/supovoy-nabor-govyadina-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat/beef/sup-nabor-govyadina-600x400.jpg,,,,1500.00 KZT,950.00 KZT
1285,,Шея говядина,https://baron.kz/myaso-ptica/govyadina/sheya-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/sheya-govyadina9-600x400.jpg,,,,2800.00 KZT,2780.00 KZT
1278,,Мякоть без кости говядина,https://baron.kz/myaso-ptica/govyadina/myakot-bez-kosti-govyadina/,https://baron.kz/image/cache/catalog/catalog/meat/beef/myakot-bez-kosti-govyadina9-600x400.jpg,,,,3300.00 KZT,
1894,,"Курица тушеная на косточке, 400 г",https://baron.kz/index.php?route=product/product&path=208_212&product_id=1894,https://baron.kz/image/cache/catalog/catalog/konservy-i-solenya/kurica-tushenaya-na-kostochke-400-g1-600x400.jpg,,,,1155.00 KZT,
922,,Цыпленок табака «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/tsyplenok-tabaka-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_tsp-600x400.jpg,,,,1132.00 KZT,
816,,Куриные крылья «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/kurinye-krylya-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_krl-600x400.jpg,,,,2150.00 KZT,
813,,Филе куриное «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/file-kurinoe-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_grd-600x400.jpg,,,,2400.00 KZT,
1975,,Alfoor бедро цыпленка бройлера зам.,https://baron.kz/index.php?route=product/product&path=208_212&product_id=1975,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alfoor-bedro-cyplenka-brojlera-zam-600x400.jpg,,,,1650.00 KZT,
817,,Бедро куриное «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/bedro-kurinoe-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_bdr-600x400.jpg,,,,1200.00 KZT,
